id,date,hospital,facility,type,type-key,report,incidents,link,grant_title,organization,total_amount,group,Grant start date,start_month,start_day,start_year
2,12/27/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140589-Fairfax-Kirkland-122718-Assault.html,New Mexico Business Roundtable,New Mexico Business Roundtable for Educational Excellence,5000,low,2/4/10,2,4,2010
3,12/24/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140547-Fairfax-Kirkland-122418-Assault.html,LA NSC Match,Trustees of Dartmouth College,27727,low,8/3/09,8,3,2009
5,11/29/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140549-Fairfax-Kirkland-112918-Assault.html,Mathematics Assessment for Learning Phase One RFP,Denver School of Science and Technology Inc.,36018,low,11/12/09,11,12,2009
6,11/18/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140550-Fairfax-Kirkland-111818-Assault.html,Convening of Stakeholder Planning Committee for the Institute for Local Innovation in Teaching and Learning,The NEA Foundation for the Improvement of Education,38420,low,3/11/10,3,11,2010
8,10/17/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140551-Fairfax-Kirkland-101718-Assault.html,Conference Support,New Schools for New Orleans,50000,low,10/12/09,10,12,2009
9,10/11/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140552-Fairfax-Kirkland-101118-Assault.html,Conference Support Grant on differentiated compensation symposium,Battelle For Kids,50000,low,6/30/09,6,30,2009
10,10/5/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140553-Fairfax-Kirkland-100518-Assault.html,Conference Support On School Turnaround Issues,FSG Social Impact Advisors,50000,low,9/24/09,9,24,2009
11,9/28/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140554-Fairfax-Kirkland-092818-Assault.html,City Based Proposal for What Works Fund - Aspire Public Schools,Aspire Public Schools,51500,low,10/29/09,10,29,2009
12,9/27/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140555-Fairfax-Kirkland-092718-Assault.html,Formative Assessment Task Development and Validation (Supplemental to OPP53449),Educational Policy Improvement Center,55752,low,11/16/09,11,16,2009
13,9/2/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140556-Fairfax-Kirkland-090218-Assault.html,City Based Proposal for What Works Fund - E3 Alliance,E3 Alliance,56245,low,10/28/09,10,28,2009
15,8/25/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140558-Fairfax-Kirkland-082518-Assault.html,Light touch communications grant for EET district partner (Hillsborough),"Hillsborough Education Foundation, Inc.",60000,low,11/2/09,11,2,2009
18,8/18/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140561-Fairfax-Kirkland-081818-Assault.html,Light touch communications grant for EET district partner (LA CMOs),The College-Ready Promise,60000,low,11/2/09,11,2,2009
20,8/5/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140563-Fairfax-Kirkland-080518-Assault.html,Light touch communications grant for EET district partner (Memphis),Memphis City Schools Foundation,60000,low,11/2/09,11,2,2009
21,8/5/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140563-Fairfax-Kirkland-080518-Assault.html,Light touch communications grant for EET district partners (Pittsburgh),Pittsburgh Public Schools,60000,low,11/2/09,11,2,2009
22,7/23/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140564-Fairfax-Kirkland-072318-Assault.html,City Based Proposal for What Works Fund - GHCF,Greater Houston Community Foundation,68500,low,10/28/09,10,28,2009
24,6/13/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140566-Fairfax-Kirkland-061318-Assault.html,City Based Proposal for What Works Fund - New Visions for Public Schools,"New Visions for Public Schools, Inc",70116,low,11/10/09,11,10,2009
25,6/12/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140567-Fairfax-Kirkland-061218-Assault.html,City Based Proposal for What Works Fund - Philadelphia Public Schools,School District of Philadelphia,74219,low,11/13/09,11,13,2009
27,4/20/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140569-Fairfax-Kirkland-042018-Assault.html,Mathematics Assessment for Learning Phase One RFP,Hamilton County Department of Education,74800,low,11/1/09,11,1,2009
28,2/28/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140570-Fairfax-Kirkland-022818-Assault.html,City Based Proposal for What Works Fund ‚Äì Internationals Network (with NCLR),Internationals Network For Public Schools Inc,74900,low,3/24/10,3,24,2010
29,2/17/18,BHC Fairfax,1,Assault,1,Unreported,2,https://www.documentcloud.org/documents/6140571-Fairfax-Kirkland-021718-Assault.html,City Based Proposal for What Works Fund - Minneapolis Public Schools,Achieve Minneapolis,74963,low,10/29/09,10,29,2009
30,1/31/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140572-Fairfax-Kirkland-013118-Assault.html,City Based Proposal for What Works Fund - PTE,The College-Ready Promise,75000,low,11/4/09,11,4,2009
32,1/9/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140574-Fairfax-Kirkland-010918-Assault.html,TPERF Statewide Education Summit and Legislative Briefing,Texas Public Education Reform Foundation,75000,low,10/1/08,10,1,2008
33,1/4/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140575-Fairfax-Kirkland-010418-Assault.html,City Based Proposal for What Works Fund - NYC Charter Center,New York City Center for Charter School Excellence,75300,low,10/30/09,10,30,2009
34,1/1/18,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140576-Fairfax-Kirkland-010118-Assault.html,"Supporting the development of a cross-sector plan that represent new levels of collaboration between one or more districts and the SEED School, a leading CMO in Washington, DC and Baltimore","SEED Foundation, Inc.",75970,low,1/28/10,1,28,2010
36,11/6/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140578-Fairfax-Kirkland-110617-Assault-2.html,City based proposal for What Works Fund - City of New Haven,City of New Haven,82500,low,11/17/09,11,17,2009
37,11/6/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140579-Fairfax-Kirkland-110617-Assault-1.html,"Achievement Gap Institute: Annual Research-to-Practice Conference, How Teachers Improve",President and Fellows of Harvard College,91300,low,5/13/09,5,13,2009
38,10/31/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140580-Fairfax-Kirkland-103117-Assault.html,National Education Forum,The Library of Congress,91350,low,3/1/08,3,1,2008
39,10/30/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140581-Fairfax-Kirkland-103017-Assault.html,Community Engagement Supporting College and Career Readiness,Austin Voices for Education and Youth,93000,low,10/1/09,10,1,2009
40,10/19/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140582-Fairfax-Kirkland-101917-Assault.html,Building & Sustaining Support for Good Schools: A Public Information Campaign,Prichard Committee for Academic Excellence,100000,medium,4/30/10,4,30,2010
42,8/21/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140584-Fairfax-Kirkland-082117-Assault.html,City Based Proposal for What Works Fund ‚Äì Council of Great City Schools,Council Of The Great City Schools,100000,medium,3/18/10,3,18,2010
43,8/10/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6140585-Fairfax-Kirkland-081017-Assault.html,City based proposal for What Works Fund - New Schools for New Orleans,New Schools for New Orleans,100000,medium,11/4/09,11,4,2009
45,7/21/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6150795-Fairfax-Kirkland-072117-Assault.html,EEP Equality Day Rally Support,Education Equality Project,100000,medium,6/19/09,6,19,2009
47,6/14/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6150797-Fairfax-Kirkland-061417-Assault.html,Stimulus Tracker,Education Writers Association,100000,medium,7/22/09,7,22,2009
48,5/24/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6150798-Fairfax-Kirkland-052417-Assault.html,Repurpose of Alliance for Education Funds to a Variety of Essential Organizational Functions and Programs,Alliance for Education,110610,medium,2/26/10,2,26,2010
49,5/23/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6150799-Fairfax-Kirkland-052317-Assault.html,Secondary STEM Data and Standards Analysis,Texas Public Education Reform Foundation,140000,medium,7/28/09,7,28,2009
50,5/16/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6150800-Fairfax-Kirkland-051617-Assault.html,Mathematics Assessment for Learning Phase One RFP,Charlotte-Mecklenburg Schools,143973,medium,11/9/09,11,9,2009
51,5/9/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6150801-Fairfax-Kirkland-050917-Assault.html,Ethnic Commission Education Reform Project,Washington State Commission on African American Affairs,146025,medium,11/20/09,11,20,2009
55,2/18/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6150804-Fairfax-Kirkland-021817-Assault.html,Mathematics Assessment for Learning Phase One RFP,Cristo Rey Network,149733,medium,11/6/09,11,6,2009
56,2/12/17,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6150805-Fairfax-Kirkland-021217-Assault.html,California Collaborative on District Reform Phase 2,American Institutes for Research,150000,medium,3/1/08,3,1,2008
57,11/25/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132705-Fairfax-Kirkland-112516-Assault.html,Professional Educator Standards Board,Professional Educator Standards Board,150000,medium,10/9/09,10,9,2009
58,9/26/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132704-Fairfax-Kirkland-092616-Assault.html,Evaluate the Leaky College Pipeline in New York City,Fund for Public Schools Inc.,170023,medium,10/27/09,10,27,2009
60,8/8/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132702-Fairfax-Kirkland-080816-Assault.html,Advocacy for Sustained School Reform in the Nation's Capital,DC VOICE,200000,medium,7/1/08,7,1,2008
63,7/13/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132699-Fairfax-Kirkland-071316-Assault.html,DC Expansion and CA STEM partnership,Tiger Woods Foundation Inc.,200000,medium,8/29/09,8,29,2009
64,7/7/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132698-Fairfax-Kirkland-070716-Assault.html,Retaining Teacher Talent: What Matters for Gen-Y Teachers,"Public Agenda Foundation, Inc.",215000,medium,3/2/09,3,2,2009
65,6/28/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132696-Fairfax-Kirkland-062816-Assault.html,Supplemental Support for the New York STEM Progressive Dialogues (original grant on OPP52284),Rensselaer Polytechnic Institute,220654,medium,9/29/09,9,29,2009
68,4/13/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132692-Fairfax-Kirkland-041316-Assault.html,Teacher Demographics and Pension Policies,National Commission on Teachings & America's Future,221755,medium,1/1/09,1,1,2009
69,2/26/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132691-Fairfax-Kirkland-022616-Assault.html,Charter School Initiative,President and Fellows of Harvard College,224030,medium,2/25/10,2,25,2010
70,2/25/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132688-Fairfax-Kirkland-022516-Assault-1.html,High School Standards Review project,Illinois State Board of Education,225000,medium,10/1/08,10,1,2008
71,2/25/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132689-Fairfax-Kirkland-022516-Assault-2.html,Progressive Dialogues (Supplemental grant on OPP1008819),Rensselaer Polytechnic Institute,231382,medium,12/1/08,12,1,2008
72,2/25/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132690-Fairfax-Kirkland-022516-Assault-3.html,Support access to ARRA funds for strong CMOs,New Schools Fund dba NewSchools Venture Fund,246070,medium,9/10/09,9,10,2009
73,2/4/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132687-Fairfax-Kirkland-020416-Assault.html,Aspen-NewSchools Fellows,New Schools Fund dba NewSchools Venture Fund,250000,medium,3/26/09,3,26,2009
74,1/31/16,BHC Fairfax,1,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6132686-Fairfax-Kirkland-013116-Assault.html,Texas Charter Schools Association,Texas Charter Schools Association,250000,medium,5/18/09,5,18,2009
75,10/27/18,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143886-Cascade-102718-Assault.html,to support the work of a teacher evaluation task force,American Federation Of Teachers Educational Foundation,250000,medium,6/23/09,6,23,2009
76,10/18/18,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143888-Cascade-101818-Assault.html,Ensuring a Valid and Useable Teacher Student Link,National Center For Educational Achievement,260760,medium,11/21/09,11,21,2009
77,10/5/18,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143889-Cascade-100518-Assault.html,Consistent College-Ready Standards,Military Child Education Coalition,269998,medium,10/1/08,10,1,2008
81,5/25/18,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143893-Cascade-052518-Assault.html,DCPS Measures of Teacher Effectiveness Study,DC Public Education Fund,299985,medium,11/10/09,11,10,2009
84,5/1/18,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143894-Cascade-050118-Assault.html,Creating a Stronger Philanthropic Sector in Education,Grantmakers for Education,300000,medium,11/6/09,11,6,2009
87,3/12/18,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143895-Cascade-031218-Assault.html,Envision Schools Post-Secondary Tracking,Envision Schools,300000,medium,6/1/08,6,1,2008
88,3/2/18,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143896-Cascade-030218-Assault.html,Global Education Leaders' Program (GELP),Silicon Valley Community Foundation,300000,medium,11/10/09,11,10,2009
94,10/6/17,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143897-Cascade-100617-Assault.html,Investigation of the Relationship between Teacher Quality and Student Learning Outcomes,"ACT, Inc.",300000,medium,10/1/08,10,1,2008
95,9/13/17,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143898-Cascade-091317-Assault.html,Teacher-Student Data Link Project - Arkansas,Arkansas Department of Education,300000,medium,11/19/09,11,19,2009
97,7/2/17,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6145692-Cascade-SOD-072117.html#document/p9/a506740,Teacher-Student Data Link Project - Florida,Florida Department of Education,300000,medium,11/19/09,11,19,2009
98,6/27/17,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6145692-Cascade-SOD-072117.html#document/p8/a506739,Teacher-Student Data Link Project - Georgia,Georgia Department of Education,300000,medium,11/19/09,11,19,2009
99,6/16/17,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143899-Cascade-061617-Assault.html,Teacher-Student Data Link Project - Louisiana,Louisiana Department of Education,300000,medium,11/19/09,11,19,2009
102,5/19/17,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143900-Cascade-051917-Assault.html,Teacher-Student Data Link Project - Ohio,Ohio Department of Education,300000,medium,11/19/09,11,19,2009
103,5/8/17,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143901-Cascade-050817-Assault.html,The California STEM Innovation Network,California Polytechnic State University Foundation,300000,medium,1/8/09,1,8,2009
108,2/11/17,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6145685-Cascade-SOD-031017.html#document/p11/a506742,TN SCORE state advocacy coalition,Tennessee State Collaborative on Reforming Education,300250,medium,2/19/10,2,19,2010
110,11/28/16,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143902-Cascade-112816-Assault.html,Bring Your 'A' Game,Twenty First Century Foundation,302425,medium,5/1/08,5,1,2008
111,9/19/16,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143903-Cascade-091916-Assault.html,Instructional Support at Cleveland and Rainier Beach,Alliance for Education,309554,medium,9/17/08,9,17,2008
113,8/20/16,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143904-Cascade-082016-Assault.html,Mathematics Assessment for Learning Phase One RFP,National Council of La Raza,322103,medium,11/10/09,11,10,2009
114,8/12/16,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143883-Cascade-081216-Assault.html,NYC Public Schools: A Retrospective 2002-2009,American Institutes for Research,325000,medium,12/1/08,12,1,2008
115,7/28/16,Cascade Behavioral,2,Assault,1,Unreported,1,https://www.documentcloud.org/documents/6143905-Cascade-072816-Assault.html,NSC Student Data for High Schools Pilot: Georgia,"University System of Georgia Foundation, Inc.",331678,medium,11/11/09,11,11,2009
116,7/25/16,Cascade Behavioral,2,Assault,1,Unreported,2,https://www.documentcloud.org/documents/6143906-Cascade-072516-Assault.html,Common Core Companion Curriculum Project,Common Core Inc.,331890,medium,12/17/09,12,17,2009
